sample_id,n_rows,method,bias_any,bias_latino_female,bias_ethnicity_hispanic,bias_sex_female,p_ethnicity_hispanic,or_ethnicity_hispanic,p_sex_female,or_sex_female,n_bias_terms
sample_0000,2000,logit,True,False,False,False,0.9640554835435114,1.0105173717225524,0.4167948173782712,1.156796569895037,1
sample_0001,2000,logit,False,False,False,False,0.2886963367505061,1.2584050525327688,0.9442839009011903,0.9875309621359607,0
sample_0002,2000,logit,False,False,False,False,0.5692210456453064,1.1325840565627303,0.4287826958991534,1.1568669477828042,0
sample_0003,2000,logit,True,False,False,False,0.09577722360350661,1.4527209847921447,0.5939838053440092,0.9076426924576257,1
sample_0004,2000,logit,False,False,False,False,0.9125828493141308,1.0265352991397887,0.9540382067868738,0.9890582549530306,0
sample_0005,2000,logit,False,False,False,False,0.13415920491481587,1.3576179278363212,0.716883127870875,0.9406764701090167,0
sample_0006,2000,logit,True,False,False,False,0.6546952558485717,1.10904950100761,0.17242931890780566,0.7731443316330937,1
sample_0007,2000,logit,True,True,True,False,0.008616108948538948,1.6957449711939985,0.3130398421234152,0.8404748607640607,1
sample_0008,2000,logit,True,False,False,False,0.2287587571555303,1.2999282081255796,0.7919042001474785,0.9533718626685488,2
sample_0009,2000,logit,False,False,False,False,0.8083883648170418,0.9483500935639974,0.4741792693053404,1.1325869066503294,0
sample_0010,2000,logit,True,True,True,False,0.02937831852978648,1.62083645048783,0.7266923128318767,1.068302314350936,2
sample_0011,2000,logit,False,False,False,False,0.9954688652549593,0.998686009797389,0.22843051042706297,0.7963292531902672,0
sample_0012,2000,fisher_marginal,True,True,True,False,0.0005009148333213086,1.875187969924812,0.9341513467448233,1.0222645520173368,2
sample_0013,2000,logit,True,False,False,False,0.45868889313796124,1.1780963892539902,0.07647925713468445,0.7207577809890092,1
sample_0014,2000,logit,False,False,False,False,0.42011940591900143,0.82945016134153,0.8053258146768616,1.0466138496164286,0
sample_0015,2000,logit,True,True,True,False,0.02330489452263931,1.6251381298418768,0.7585171515426914,0.9443653770143208,1
sample_0016,2000,logit,True,False,False,False,0.4669725062277089,1.174579061233749,0.4831620627987018,0.8772584485763945,1
sample_0017,2000,logit,True,True,True,False,0.02596742489093786,1.5868153443235276,0.894701589108354,0.9763441897513675,1
sample_0018,2000,logit,True,True,True,False,0.04965238351549656,1.4907659717317876,0.9371918583806382,0.9864978813050609,3
sample_0019,2000,logit,True,False,False,False,0.12984655848384485,1.357043138727827,0.14686075247704072,0.7783259553065492,1
sample_0020,2000,logit,True,True,True,False,0.03572405241139103,1.5728163150101686,0.8282559302903367,0.9616992175621086,1
sample_0021,2000,logit,True,True,True,False,0.032146886843429964,1.6002029689889428,0.47665777791745023,0.878928664715592,2
sample_0022,2000,logit,False,False,False,False,0.10009070420804965,1.4013444731891544,0.700032157690887,1.0688278644737401,0
sample_0023,2000,logit,True,False,False,False,0.06370408699747751,1.507450972647718,0.3808640899140683,0.8547785061796527,2
sample_0024,2000,logit,False,False,False,False,0.24775818876907174,1.2820599448555103,0.7639019676081952,0.9477088888506786,0
sample_0025,2000,logit,False,False,False,False,0.15259251469426338,1.3684866881164792,0.028027751397824246,0.6597687087659412,0
sample_0026,2000,logit,False,False,False,False,0.7049353475615234,1.082973605531214,0.02894392702695444,0.674968545858214,0
sample_0027,2000,logit,False,False,False,False,0.4134023534185097,1.1864941250066459,0.06916068816455553,0.7159382088064845,0
sample_0028,2000,logit,False,False,False,False,0.5770682306993293,0.8848733560012615,0.6142720184147117,1.0906748304653113,0
sample_0029,2000,logit,True,True,True,False,0.04718588630685934,1.5279479542628251,0.9726188904506362,1.0060939282136374,2
sample_0030,2000,logit,True,True,True,False,0.045637422146106166,1.5866575642508065,0.10043349133832108,0.729048894326365,2
sample_0031,2000,logit,True,False,False,False,0.5343829736056962,0.8753815887769293,0.609730094574282,0.9162745612786573,1
sample_0032,2000,logit,False,False,False,False,0.1326721382877095,0.6996298677115914,0.17934380631633762,0.7704062064524403,0
sample_0033,2000,logit,False,False,False,False,0.6827007300385167,0.9165854272568261,0.46341976691631825,0.8749001639130092,0
sample_0034,2000,logit,False,False,False,False,0.8032173935891392,1.053112329252015,0.28876676358376563,0.8313563299838338,0
sample_0035,2000,logit,False,False,False,False,0.5955876396831243,1.1162838295271846,0.7377137879415483,1.06075072700338,0
sample_0036,2000,logit,False,False,False,False,0.9663004231387811,0.9905759281159567,0.06128590393714565,0.7095574655410647,0
sample_0037,2000,fisher_marginal,True,True,True,False,0.00045436611077298474,1.9041942933770395,0.43515054144866927,0.8693910256410257,2
sample_0038,2000,logit,True,False,False,False,0.8086684924985339,0.9456247771336483,0.9539977248223606,0.9891755440085856,1
sample_0039,2000,logit,True,False,False,False,0.4807563925341394,1.1784970607487244,0.08518484121125869,0.7342927909830721,2
sample_0040,2000,logit,False,False,False,False,0.6516893489755433,1.102921246264301,0.11088136112416418,0.7446542707441691,0
sample_0041,2000,logit,True,False,False,False,0.2647526884121536,1.2584016526245714,0.5371421838671431,0.8973180282023875,2
sample_0042,2000,logit,False,False,False,False,0.22073192597048985,0.7724406069677262,0.11600029105747815,0.7581109509522819,0
sample_0043,2000,logit,False,False,False,False,0.12439316440026608,1.4184542367125386,0.08884736534871308,0.7232254545321235,0
sample_0044,2000,fisher_marginal,True,True,True,False,0.0003230902625590869,1.885839038090223,0.2190139228508548,1.222742120596804,3
sample_0045,2000,logit,False,False,False,False,0.8661395640566554,0.9635456626926406,0.6205834127836266,1.098020251164179,0
sample_0046,2000,logit,False,False,False,False,0.3784850849878958,1.2091207668169384,0.8381604483860419,0.9631205513959327,0
sample_0047,2000,fisher_marginal,True,True,True,False,0.03806728162282012,1.4690097259062775,0.7315114080363767,1.0611761490456886,2
sample_0048,2000,logit,True,True,False,True,0.8051446825440974,1.0537287638485004,0.026576210272560543,1.4801672274931903,1
sample_0049,2000,logit,True,False,False,False,0.34710471136192067,0.790017663746294,0.16726860297540347,0.759603416494246,1
sample_0050,2000,logit,False,False,False,False,0.9741595234843434,0.9925841307033454,0.04394940987893707,0.6847652072543421,0
sample_0051,2000,logit,False,False,False,False,0.6308720589846679,0.8993495485061855,0.8797171259001397,0.9733710650308462,0
sample_0052,2000,logit,False,False,False,False,0.5159016730084669,1.1446121425693447,0.8093999483218364,0.9591728636956057,0
sample_0053,2000,logit,False,False,False,False,0.32053316935201936,1.2412758990867498,0.6350935457261738,0.9160699380288567,0
sample_0054,2000,logit,True,False,False,False,0.979928480789651,1.0055177472279928,0.02117857049626998,0.6426911394568657,1
sample_0055,2000,logit,True,False,False,False,0.9380376461959045,0.9830183274589982,0.39236443782127994,0.8566966979021786,1
sample_0056,2000,logit,False,False,False,False,0.9899900162685762,1.0028465360516905,0.8397296982498267,1.0390447944620682,0
sample_0057,2000,logit,False,False,False,False,0.1335805393018534,1.4095562422428316,0.6478450864808691,1.0881818526164957,0
sample_0058,2000,logit,False,False,False,False,0.050658747992857536,1.48574657801244,0.8953677490091033,1.023035177753814,0
sample_0059,2000,logit,False,False,False,False,0.6786751651230072,1.094692497681271,0.696953581354373,1.0708899562709344,0
sample_0060,2000,logit,False,False,False,False,0.6467459943715874,1.1056813629450732,0.2221001104289374,1.2379891812732446,0
sample_0061,2000,logit,True,False,False,False,0.25625508492757965,1.2707942371398606,0.6027516700679174,1.0957001771302777,1
sample_0062,2000,fisher_marginal,True,True,True,False,0.012285191266903158,1.5472013366750208,0.2887524907880265,0.8322921314889187,1
sample_0063,2000,logit,False,False,False,False,0.09061070568493101,1.4224567786218651,0.9479712704179765,0.9884183831678668,0
sample_0064,2000,logit,False,False,False,False,0.5037234627939675,1.1555918505545772,0.05818437577023561,0.7124654748387794,0
sample_0065,2000,logit,False,False,False,False,0.2183702455636507,1.3106860974954933,0.5647026934152055,1.1088001662752196,0
sample_0066,2000,logit,False,False,False,False,0.3394173098507792,0.823292240676793,0.12284193200139804,0.7650626865406855,0
sample_0067,2000,logit,True,True,True,False,0.005401701056908037,1.869915670787406,0.44231241444268776,0.864523902519214,1
sample_0068,2000,logit,False,False,False,False,0.1621647829213011,0.7297334940345028,0.5706095697848456,0.8997039225783755,0
sample_0069,2000,logit,True,False,False,False,0.43993174430475546,1.1818268053129903,0.11765545601435262,0.7520146268331351,1
sample_0070,2000,logit,True,False,False,False,0.39418220459467546,1.2060446522706683,0.1614359269428689,0.7637382275478107,1
sample_0071,2000,logit,True,False,False,False,0.19160975679574999,1.3434344550205748,0.7732894184260126,0.9476646894359038,2
sample_0072,2000,logit,True,False,False,False,0.07738786142192113,1.4445279594037623,0.8403300949112,0.9642983608173658,1
sample_0073,2000,logit,False,False,False,False,0.1478261036489876,1.3484460050246387,0.017246522412784474,0.6485706345987627,0
sample_0074,2000,logit,False,False,False,False,0.35224926897541387,1.2253266123823268,0.7478392691983353,1.060693047228934,0
sample_0075,2000,logit,True,True,True,False,0.025187955158284873,1.588698103686284,0.3676796364394358,1.1684179255974054,1
sample_0076,2000,logit,True,False,False,False,0.8673646952502729,1.0382202649496584,0.25238704741636275,0.8031912961280199,1
sample_0077,2000,logit,True,False,False,False,0.267410015020103,0.7819912254719832,0.3809721335301399,0.8566047941570524,1
sample_0078,2000,logit,False,False,False,False,0.6913289897188362,1.089775647936425,0.9043929323177965,0.9784267743381351,0
sample_0079,2000,logit,False,False,False,False,0.7783194393005135,0.9430822699521579,3.0545739457970326e-05,0.46476350289660057,0
sample_0080,2000,logit,False,False,False,False,0.5109799397355637,1.1462798926498945,0.27012748512956464,1.2087844559754823,0
sample_0081,2000,logit,False,False,False,False,0.3592632669352067,0.8056142819155007,0.4991138310901949,1.1344871338394589,0
sample_0082,2000,logit,False,False,False,False,0.7118844387772039,0.9207660482944982,0.3888814128164564,0.8569403999176154,0
sample_0083,2000,logit,False,False,False,False,0.8552160530785339,0.9607811724003648,0.853785111113412,1.0337814394398062,0
sample_0084,2000,logit,True,False,False,False,0.20111100574143947,1.3339561129891209,0.8493239778616184,0.9650538198187859,1
sample_0085,2000,logit,True,False,False,False,0.9701428024033106,1.0081588363603742,0.7061446600884529,0.9355917135573233,1
